network,nodes,edges,kmax,n_random,runtime_sec,has_coord,silk,silk_pct,bond,bond_pct,local_bridge,local_bridge_pct,global_bridge,global_bridge_pct,r1_mean
Ragusa16,24,71,1,1000,0.024,1,5,7.04,11,15.49,44,61.97,11,15.49,0.523474
ba_sfn,100,196,1,1000,0.051,0,0,0.00,19,9.69,41,20.92,136,69.39,0.162173
camp92,18,70,1,1000,0.026,0,0,0.00,28,40.00,32,45.71,10,14.29,0.633333
celegans,297,2148,1,1000,0.523,0,15,0.70,353,16.43,1464,68.16,316,14.71,0.346496
dolphins,62,159,1,1000,0.038,0,9,5.66,71,44.65,50,31.45,29,18.24,0.371087
florentine,15,20,1,1000,0.016,0,4,20.00,1,5.00,7,35.00,8,40.00,0.225000
football,115,615,1,1000,0.113,0,0,0.00,422,68.62,97,15.77,96,15.61,0.418578
jazz,198,2742,1,1000,0.636,0,5,0.18,1894,69.07,718,26.19,125,4.56,0.718718
k-core,26,31,1,1000,0.018,0,14,45.16,5,16.13,8,25.81,4,12.90,0.282258
karate,34,78,1,1000,0.030,0,1,1.28,28,35.90,38,48.72,11,14.10,0.646164
leader,32,96,1,1000,0.033,0,0,0.00,9,9.38,73,76.04,14,14.58,0.397272
lesmis,77,254,1,1000,0.066,0,17,6.69,153,60.24,68,26.77,16,6.30,0.773392
nws_swn,50,105,2,1000,0.041,0,0,0.00,100,95.24,4,3.81,1,0.95,0.474603
nws_swn_0.0,200,600,8,1000,0.220,0,0,0.00,600,100.00,0,0.00,0,0.00,0.600000
nws_swn_0.001,200,600,8,1000,0.211,0,0,0.00,600,100.00,0,0.00,0,0.00,0.600000
nws_swn_0.002,200,601,8,1000,0.215,0,0,0.00,601,100.00,0,0.00,0,0.00,0.599002
nws_swn_0.004,200,605,5,1000,0.178,0,0,0.00,600,99.17,3,0.50,2,0.33,0.595041
nws_swn_0.008,200,605,4,1000,0.150,0,0,0.00,600,99.17,3,0.50,2,0.33,0.594931
nws_swn_0.016,200,610,3,1000,0.146,0,0,0.00,600,98.36,5,0.82,5,0.82,0.589563
nws_swn_0.032,200,613,3,1000,0.145,0,0,0.00,600,97.88,2,0.33,11,1.79,0.585808
nws_swn_0.064,200,634,2,1000,0.127,0,0,0.00,603,95.11,10,1.58,21,3.31,0.563069
nws_swn_0.128,200,673,1,1000,0.125,0,0,0.00,600,89.15,3,0.45,70,10.40,0.509006
nws_swn_0.256,200,747,1,1000,0.146,0,0,0.00,608,81.39,10,1.34,129,17.27,0.427545
nws_swn_0.384,200,833,1,1000,0.143,0,0,0.00,608,72.99,34,4.08,191,22.93,0.356602
nws_swn_0.512,200,903,1,1000,0.152,0,0,0.00,611,67.66,48,5.32,244,27.02,0.303877
nws_swn_0.640,200,960,1,1000,0.193,0,0,0.00,615,64.06,79,8.23,266,27.71,0.278474
nws_swn_0.768,200,1082,1,1000,0.182,0,0,0.00,607,56.10,147,13.59,328,30.31,0.223523
nws_swn_0.896,200,1137,1,1000,0.201,0,0,0.00,558,49.08,245,21.55,334,29.38,0.207289
nws_swn_1.0,200,1200,1,1000,0.235,0,0,0.00,545,45.42,295,24.58,360,30.00,0.192646
prisonInter,67,182,1,1000,0.052,0,2,1.10,84,46.15,33,18.13,63,34.62,0.415803
rdgam,12,56,1,1000,0.015,0,0,0.00,44,78.57,10,17.86,2,3.57,0.919643
s208,122,189,2,1000,0.054,0,9,4.76,50,26.46,76,40.21,54,28.57,0.077601
women,18,50,1,1000,0.022,0,0,0.00,38,76.00,9,18.00,3,6.00,0.899476
ws_swn_0.0,200,600,8,1000,0.228,0,0,0.00,600,100.00,0,0.00,0,0.00,0.600000
ws_swn_0.001,200,600,8,1000,0.209,0,0,0.00,600,100.00,0,0.00,0,0.00,0.599000
ws_swn_0.002,200,600,5,1000,0.155,0,0,0.00,597,99.50,1,0.17,2,0.33,0.596333
ws_swn_0.004,200,600,4,1000,0.179,0,0,0.00,593,98.83,4,0.67,3,0.50,0.587139
ws_swn_0.008,200,600,4,1000,0.149,0,0,0.00,596,99.33,0,0.00,4,0.67,0.591667
ws_swn_0.016,200,600,3,1000,0.156,0,0,0.00,588,98.00,2,0.33,10,1.67,0.576389
ws_swn_0.032,200,600,2,1000,0.159,0,0,0.00,581,96.83,2,0.33,17,2.83,0.560667
ws_swn_0.064,200,600,2,1000,0.130,0,0,0.00,565,94.17,3,0.50,32,5.33,0.527167
ws_swn_0.128,200,600,2,1000,0.115,0,0,0.00,532,88.67,32,5.33,36,6.00,0.455389
ws_swn_0.256,200,600,1,1000,0.110,0,0,0.00,419,69.83,16,2.67,165,27.50,0.304758
ws_swn_0.384,200,600,1,1000,0.113,0,0,0.00,256,42.67,29,4.83,315,52.50,0.158591
ws_swn_0.512,200,600,1,1000,0.105,0,0,0.00,168,28.00,27,4.50,405,67.50,0.101788
ws_swn_0.640,200,600,1,1000,0.124,0,0,0.00,107,17.83,30,5.00,463,77.17,0.060222
ws_swn_0.768,200,600,1,1000,0.100,0,0,0.00,61,10.17,20,3.33,519,86.50,0.033114
ws_swn_0.896,200,600,1,1000,0.111,0,0,0.00,45,7.50,22,3.67,533,88.83,0.024175
ws_swn_1.0,200,600,1,1000,0.123,0,0,0.00,32,5.33,19,3.17,549,91.50,0.019940
